,,,,,,,,,,,,,,,,,,
,Use overview sheet to select carrier and module ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,TE0705_REV04,,,,,,,,B2B,,TE0712_REV03,,,,,,Carrier + Module (PCB only)
,Index,Conn Pin name,Desig.,Pin,intermediate,Carrier Net Name,#netname,C. Trace Length (mm),others,pin c,pin m,others,intermediate,Module Net Name,#netname,FPGA Pin,M. Trace Length (mm),Total trace length (mm)
,73,B2B-GND,JB1,74,---,GND,260,---,---,---,---,---,---,---,---,---,---,---
,74,B2B-GND,JB1,73,---,GND,260,---,---,---,---,---,---,---,---,---,---,---
,75,B2B-IO-G1,JB1,76,---,NetJB1_76,1,---,---,JB1-76,JM1-75,---,---,B16_L12_P,2,D17,28.2811,---
,76,B2B-IO-G1,JB1,75,---,IOB5,2,40.1166,J13-10,JB1-75,JM1-76,---,---,B16_L5_N,2,D16,25.6153,65.7319
,77,B2B-IO-G1,JB1,78,---,NetJB1_78,1,---,---,JB1-78,JM1-77,---,---,B16_L12_N,2,C17,28.0053,---
,78,B2B-IO-G1,JB1,77,---,IOB4,2,42.1151,J13-9,JB1-77,JM1-78,---,---,B16_L5_P,2,E16,26.0611,68.1762
,79,B2B-PWR_VBAT,JB1,80,---,VBAT,2,---,---,---,---,---,---,---,---,---,---,---
,80,B2B-IO-G1,JB1,79,---,IOB3,2,44.3083,J13-8,JB1-79,JM1-80,---,---,B16_L2_N,2,E17,29.1452,73.4535
,81,B2B-IO-G1,JB1,82,---,X5,2,5.9395,R21-7,JB1-82,JM1-81,---,---,B16_L8_N,2,B13,25.2309,31.1704
,82,B2B-IO-G1,JB1,81,---,IOA3,2,35.0625,J11-8,JB1-81,JM1-82,---,---,B16_L2_P,2,F16,29.9797,65.0422
,83,B2B-IO-G1,JB1,84,---,X6,3,69.6356,U14-19,JB1-84,JM1-83,---,---,B16_L8_P,2,C13,25.5068,95.1424
,84,B2B-GND,JB1,83,---,GND,260,---,---,---,---,---,---,---,---,---,---,---
,85,B2B-IO-G6_MIO_UART-TX,JB1,86,MIO15 --> R30 --> ,NetD12_1,3,79.8594,J1-5,JB1-86,JM1-85,---,---,B14_L18_N,2,U18,47.5165,127.3759
,86,B2B-IO-G1,JB1,85,---,NetJB1_85,1,---,---,JB1-85,JM1-86,---,---,B16_L6_N,2,D15,25.7321,---
,87,B2B-IO-G6_MIO,JB1,88,MIO0 --> R30 --> ,NetD11_4,3,151.3184,J1-11,JB1-88,JM1-87,---,---,B14_L18_P,2,U17,47.4401,198.7585
,88,B2B-IO-G1,JB1,87,---,IOA2,2,36.379,J11-7,JB1-87,JM1-88,---,---,B16_L6_P,2,D14,25.6259,62.0049
,89,B2B-JTAGSEL,JB1,90,---,JTAGMODE,3,74.8961,U14-58,JB1-90,JM1-89,U3-26,---,JTAGEN,3,--,55.6807,130.5768
,90,B2B-GND,JB1,89,---,GND,260,---,---,---,---,---,---,---,---,---,---,---
,91,B2B-IO-G6_MIO,JB1,92,MIO9 --> R30 --> ,NetD11_3,3,29.5912,J1-9,JB1-92,JM1-91,---,---,B14_L9_P,2,Y21,53.6444,83.2356
,92,B2B-IO-G6_MIO_UART-RX,JB1,91,MIO14 --> R29 --> ,NetD12_4,3,104.2025,J1-7,JB1-91,JM1-92,---,---,B14_L24_P,2,P16,49.7054,153.9079
,93,B2B-IO-G6_MIO,JB1,94,MIO11 --> R30 --> ,NetD12_6,3,79.6838,J1-8,JB1-94,JM1-93,---,---,B14_L9_N,2,Y22,54.2176,133.9014
,94,B2B-IO-G1,JB1,93,---,IOB0,2,42.6658,J13-5,JB1-93,JM1-94,---,---,B16_L4_N,2,E14,26.676,69.3418
,95,B2B-IO-G6_MIO,JB1,96,MIO10 --> R29 --> ,NetD11_1,3,81.7551,J1-10,JB1-96,JM1-95,---,---,B14_L4_P,2,T21,57.1675,138.9226
,96,B2B-IO-G1,JB1,95,---,IOB1,2,39.0363,J13-6,JB1-95,JM1-96,---,---,B16_L4_P,2,E13,26.5698,65.6061
,97,B2B-IO-G6_MIO,JB1,98,MIO13 --> R29 --> ,NetD11_6,3,82.2913,J1-12,JB1-98,JM1-97,---,---,B14_L4_N,2,U21,57.1024,139.3937
,98,B2B-IO-G1,JB1,97,---,NetJB1_97,1,---,---,JB1-97,JM1-98,---,---,B16_L1_N,2,F14,28.5245,---
,99,B2B-IO-G6_MIO,JB1,100,---,MIO12,3,71.0739,U1-2,JB1-100,JM1-99,---,---,B14_L24_N,2,R17,50.7027,121.7766
,100,B2B-IO-G1,JB1,99,---,IOA0,2,27.8034,J11-5,JB1-99,JM1-100,---,---,B16_L1_P,2,F13,28.4183,56.2217
,101,B2B-VCCIOB,JB2,2,---,VIOTB,38,---,---,---,---,---,---,---,---,---,---,---
,102,B2B-PWR_1,JB2,1,---,5V0,27,---,---,---,---,---,---,---,---,---,---,---
,103,B2B-VCCIOB,JB2,4,---,VIOTB,38,---,---,---,---,---,---,---,---,---,---,---
,104,B2B-PWR_1,JB2,3,---,5V0,27,---,---,---,---,---,---,---,---,---,---,---
,105,B2B-VCCIOC,JB2,6,---,VIOTB,38,---,---,---,---,---,---,---,---,---,---,---
,106,B2B-PWR_1,JB2,5,---,5V0,27,---,---,---,---,---,---,---,---,---,---,---
,107,B2B-VCCIOD,JB2,8,---,VIOTB,38,---,---,---,---,---,---,---,---,---,---,---
,108,B2B-PWR_1,JB2,7,---,5V0,27,---,---,---,---,---,---,---,---,---,---,---
