Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2024 Advanced Micro Devices, Inc. All Rights Reserved.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2024.2 (lin64) Build 5239630 Fri Nov 08 22:34:34 MST 2024
| Date         : Wed Apr  1 14:46:27 2026
| Host         : bwrcix-1.EECS.Berkeley.EDU running 64-bit Red Hat Enterprise Linux 9.6 (Plow)
| Command      : report_utilization -hierarchical -file /scratch/lorenhung/chipyard/fpga/generated-src/chipyard.fpga.vcu118.VCU118FPGATestHarness.CustomSaturnVCU118Config/obj/report/utilization.txt
| Design       : VCU118FPGATestHarness
| Device       : xcvu9p-flga2104-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|                                            Instance                                           |                                       Module                                       | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|           (fragmenter)                                                                        |                                                        TLFragmenter_TileClockGater |          1 |          1 |       0 |    0 |     9 |      0 |      0 |    0 |          0 |
|           repeater                                                                            |                                              Repeater_TLBundleA_a21d64s5k1z3u_1225 |         36 |         36 |       0 |    0 |    21 |      0 |      0 |    0 |          0 |
|         fragmenter_1                                                                          |                                                       TLFragmenter_TileResetSetter |         33 |         33 |       0 |    0 |    21 |      0 |      0 |    0 |          0 |
|           (fragmenter_1)                                                                      |                                                       TLFragmenter_TileResetSetter |          1 |          1 |       0 |    0 |     9 |      0 |      0 |    0 |          0 |
|           repeater                                                                            |                                                   Repeater_TLBundleA_a21d64s5k1z3u |         33 |         33 |       0 |    0 |    12 |      0 |      0 |    0 |          0 |
|         resetSynchronizer                                                                     |                                                        ClockGroupResetSynchronizer |         13 |         13 |       0 |    0 |     4 |      0 |      0 |    0 |          0 |
|           nodeOut_member_allClocks_uncore_reset_catcher                                       |                                                          ResetCatchAndSync_d3_1222 |         13 |         13 |       0 |    0 |     4 |      0 |      0 |    0 |          0 |
|             io_sync_reset_chain                                                               |                                       AsyncResetSynchronizerShiftReg_w1_d3_i0_1223 |         13 |         13 |       0 |    0 |     4 |      0 |      0 |    0 |          0 |
|               output_chain                                                                    |                                 AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_1224 |         13 |         13 |       0 |    0 |     4 |      0 |      0 |    0 |          0 |
|         xbar                                                                                  |                                                 TLXbar_prcibus_i1_o2_a21d64s5k1z3u |         13 |         13 |       0 |    0 |     6 |      0 |      0 |    0 |          0 |
|       clint_domain                                                                            |                                                               CLINTClockSinkDomain |        129 |        129 |       0 |    0 |   198 |      0 |      0 |    0 |          0 |
|         clint                                                                                 |                                                                              CLINT |        129 |        129 |       0 |    0 |   194 |      0 |      0 |    0 |          0 |
